Designator,Mid X,Mid Y,Rotation,Layer
C1,-19.47,-44.5,270.0,top
C10,-44.27,-96.5,0.0,top
C11,-6.87,-96.5,180.0,top
C12,-14.32,-96.5,0.0,top
C13,-6.82,-74.295,180.0,top
C14,-14.27,-74.295,0.0,top
C15,-12.72,-19.5,0.0,top
C16,-12.72,-10.0,0.0,top
C2,-7.72,-3.0,180.0,top
C3,-33.42,-73.05,270.0,top
C4,-18.02,-75.545,90.0,top
C5,-33.22,-97.75,90.0,top
C6,-18.02,-97.75,90.0,top
C9,-36.83,-96.52,180.0,top
CONN1,-18.4404,-18.9992,0.0,bottom
CONN3,-42.8,-68.4684,180.0,bottom
CONN5,-19.47,-32.0,0.0,top
CONN6,-34.72,-108.09,270.0,bottom
CONN7,-21.59,-108.09,270.0,bottom
D1,-31.4644,-46.3724,90.0,bottom
D2,-21.22,-2.5,0.0,top
D3,-14.97,-46.1,0.0,top
D4,-14.97,-49.4,0.0,top
EuroPower1,-10.795,-34.29,270.0,top
IC1,-25.72,-74.25,0.0,top
IC2,-25.72,-97.0,0.0,top
IC3,-11.22,-58.5,0.0,top
Q1,-33.72,-33.0,90.0,bottom
R1,-33.9344,-92.8116,180.0,top
R2,-34.6964,-100.33,180.0,top
R21,-34.7472,-79.3496,180.0,top
R22,-29.7744,-57.2824,0.0,top
R23,-14.986,-52.1208,0.0,top
R24,-32.253617,-22.2504,90.0,bottom
R25,-29.556834,-22.2504,90.0,bottom
R26,-34.9504,-14.6304,270.0,bottom
R27,-34.9504,-46.3804,90.0,bottom
R28,-42.3672,-81.9404,0.0,top
R29,-33.8836,-87.63,180.0,top
R3,-17.018,-100.4316,0.0,top
R30,-34.6964,-102.87,180.0,top
R31,-17.018,-102.9462,0.0,top
R32,-16.9672,-87.7824,0.0,top
R33,-16.9672,-83.205,0.0,top
R34,-16.9672,-65.405,0.0,top
R35,-33.8836,-90.2208,180.0,top
R36,-42.3164,-105.3592,0.0,top
R37,-9.398,-105.4608,180.0,top
R38,-9.3472,-90.2716,180.0,top
R39,-16.9672,-80.655,0.0,top
R4,-16.9672,-92.7608,0.0,top
R40,-16.9672,-67.8053,0.0,top
R5,-16.9672,-78.105,0.0,top
R6,-16.9672,-70.2056,0.0,top
REG1,-18.22,-12.0,90.0,top
RPI1,-42.72,-6.0,0.0,top
